country_eng,value_usd,value_baht,quantity,quantity_unit,year,month,hs_code,hs_description,data_type
United States of America,22871659.43,751076561.45,22731.04,KGM,2019,10,10,Cereals (Rice),export
Japan,26857529.47,941515204.84,14660.63,KGM,2019,10,10,Cereals (Rice),export
Saudi Arabia,14933103.6,455226078.52,12106.58,KGM,2019,10,10,Cereals (Rice),export
Philippines,16605571.23,514399128.18,11134.66,KGM,2019,10,10,Cereals (Rice),export
Malaysia,13773736.26,455356607.36,11385.5,KGM,2019,10,10,Cereals (Rice),export
Hong Kong,17708005.53,588237886.66,17560.36,KGM,2019,10,10,Cereals (Rice),export
Singapore,11670146.79,365896277.97,8788.18,KGM,2019,10,10,Cereals (Rice),export
Cameroon,9494898.91,312035807.88,6633.39,KGM,2019,10,10,Cereals (Rice),export
Mozambique,8347376.17,255310734.17,4970.35,KGM,2019,10,10,Cereals (Rice),export
Senegal,7854810.6,251947111.2,5301.22,KGM,2019,10,10,Cereals (Rice),export
Iran,22874486.39,769186230.64,17166.95,KGM,2019,10,10,Cereals (Rice),export
India,8953990.39,286055032.95,7371.59,KGM,2019,10,10,Cereals (Rice),export
Yemen,7339388.27,235949426.1,6523.84,KGM,2019,10,10,Cereals (Rice),export
China,144627967.48,4932062810.38,105344.15,KGM,2019,11,10,Cereals (Rice),export
Nigeria,53682487.99,1799683642.77,42230.01,KGM,2019,11,10,Cereals (Rice),export
Indonesia,49526722.57,1669931940.26,36334.39,KGM,2019,11,10,Cereals (Rice),export
South Africa,34031353.31,1155721966.76,33595.11,KGM,2019,11,10,Cereals (Rice),export
Iraq,31156915.32,1073881113.34,24369.3,KGM,2019,11,10,Cereals (Rice),export
United States of America,24893559.2,824190879.03,16664.37,KGM,2019,11,10,Cereals (Rice),export
Japan,24711260.1,811494530.45,21040.24,KGM,2019,11,10,Cereals (Rice),export
Saudi Arabia,17743671.54,578505366.92,15014.46,KGM,2019,11,10,Cereals (Rice),export
Philippines,16721085.46,577162582.7,12589.64,KGM,2019,11,10,Cereals (Rice),export
Malaysia,14207949.18,464486608.94,11630.61,KGM,2019,11,10,Cereals (Rice),export
Hong Kong,21069138.27,703096971.69,14954.05,KGM,2019,11,10,Cereals (Rice),export
Singapore,9793400.44,324862464.74,8381.22,KGM,2019,11,10,Cereals (Rice),export
Cameroon,8137551.72,266515397.48,6818.78,KGM,2019,11,10,Cereals (Rice),export
Mozambique,7994456.93,262194956.77,5014.7,KGM,2019,11,10,Cereals (Rice),export
Senegal,6800008.7,234960121.49,5639.17,KGM,2019,11,10,Cereals (Rice),export
Iran,26615706.71,829035793.75,19104.83,KGM,2019,11,10,Cereals (Rice),export
India,8528223.86,287613801.67,7572.04,KGM,2019,11,10,Cereals (Rice),export
Yemen,7764376.85,251990906.83,5587.29,KGM,2019,11,10,Cereals (Rice),export
China,135152876.05,4253935210.61,92647.72,KGM,2019,12,10,Cereals (Rice),export
Nigeria,52785614.82,1465193122.79,30193.24,KGM,2019,12,10,Cereals (Rice),export
Indonesia,41282649.24,1387964751.49,34018.05,KGM,2019,12,10,Cereals (Rice),export
South Africa,26672468.01,869062280.73,24360.02,KGM,2019,12,10,Cereals (Rice),export
Iraq,25391607.82,798058256.97,25104.16,KGM,2019,12,10,Cereals (Rice),export
United States of America,23727040.24,796568045.62,21036.46,KGM,2019,12,10,Cereals (Rice),export
Japan,21545476.88,724876552.16,16370.57,KGM,2019,12,10,Cereals (Rice),export
Saudi Arabia,15895813.47,515369158.0,13169.66,KGM,2019,12,10,Cereals (Rice),export
Philippines,12003414.08,417029975.62,12303.92,KGM,2019,12,10,Cereals (Rice),export
Malaysia,11789775.63,361514892.92,8594.59,KGM,2019,12,10,Cereals (Rice),export
Hong Kong,15464904.22,475801265.59,10281.01,KGM,2019,12,10,Cereals (Rice),export
Singapore,9180926.99,307725983.55,6685.44,KGM,2019,12,10,Cereals (Rice),export
Cameroon,7544540.04,229675621.12,5686.85,KGM,2019,12,10,Cereals (Rice),export
Mozambique,6311507.19,196679430.08,4979.39,KGM,2019,12,10,Cereals (Rice),export
Senegal,5931519.5,194283278.52,4231.16,KGM,2019,12,10,Cereals (Rice),export
Iran,19627454.83,660230542.25,13813.18,KGM,2019,12,10,Cereals (Rice),export
India,6622958.97,217432895.58,5314.77,KGM,2019,12,10,Cereals (Rice),export
Yemen,6554718.54,232158861.75,5417.39,KGM,2019,12,10,Cereals (Rice),export
China,109033248.05,3429203234.93,89253.19,KGM,2020,1,10,Cereals (Rice),export
Nigeria,39637930.98,1261920811.03,37250.45,KGM,2020,1,10,Cereals (Rice),export
Indonesia,42420952.11,1430838768.78,24911.31,KGM,2020,1,10,Cereals (Rice),export
South Africa,27174659.85,918739055.42,21790.97,KGM,2020,1,10,Cereals (Rice),export
Iraq,24649864.09,783416124.96,19840.31,KGM,2020,1,10,Cereals (Rice),export
United States of America,26704877.51,883326001.23,16784.74,KGM,2020,1,10,Cereals (Rice),export
Japan,18502053.15,593506910.5,15508.05,KGM,2020,1,10,Cereals (Rice),export
Saudi Arabia,14803298.76,469345830.47,12656.66,KGM,2020,1,10,Cereals (Rice),export
Philippines,15077041.32,511258535.02,12424.11,KGM,2020,1,10,Cereals (Rice),export
Malaysia,11409169.94,383763822.56,5811.18,KGM,2020,1,10,Cereals (Rice),export
Hong Kong,14515496.87,437699334.59,11728.18,KGM,2020,1,10,Cereals (Rice),export
Singapore,9511388.6,315565396.73,5990.73,KGM,2020,1,10,Cereals (Rice),export
Cameroon,8236651.28,286833783.4,5702.35,KGM,2020,1,10,Cereals (Rice),export
Mozambique,6290195.94,195265428.99,5830.25,KGM,2020,1,10,Cereals (Rice),export
Senegal,6665744.42,224652497.09,5342.29,KGM,2020,1,10,Cereals (Rice),export
Iran,18140681.79,588012776.55,12565.12,KGM,2020,1,10,Cereals (Rice),export
India,8391985.35,257385921.91,6136.9,KGM,2020,1,10,Cereals (Rice),export
Yemen,5363031.25,180905068.09,5561.08,KGM,2020,1,10,Cereals (Rice),export
China,95932911.18,3075842901.52,68998.17,KGM,2020,2,10,Cereals (Rice),export
Nigeria,35670677.26,1308309055.53,34365.12,KGM,2020,2,10,Cereals (Rice),export
Indonesia,30653603.98,1071891847.95,28531.87,KGM,2020,2,10,Cereals (Rice),export
South Africa,31369421.4,1028304596.53,22929.95,KGM,2020,2,10,Cereals (Rice),export
Iraq,22583752.87,753510552.25,19772.2,KGM,2020,2,10,Cereals (Rice),export
United States of America,24306317.27,795187180.56,16206.89,KGM,2020,2,10,Cereals (Rice),export
Japan,16508257.49,564180746.81,14986.21,KGM,2020,2,10,Cereals (Rice),export
Saudi Arabia,15510428.06,515260992.83,10034.14,KGM,2020,2,10,Cereals (Rice),export
Philippines,12243019.32,401057205.46,11780.65,KGM,2020,2,10,Cereals (Rice),export
Malaysia,9280832.59,312649986.23,8524.08,KGM,2020,2,10,Cereals (Rice),export
Hong Kong,14947712.18,480151754.69,10956.41,KGM,2020,2,10,Cereals (Rice),export
Singapore,7890439.9,250256991.49,6672.22,KGM,2020,2,10,Cereals (Rice),export
Cameroon,8003591.9,265586605.12,5205.51,KGM,2020,2,10,Cereals (Rice),export
Mozambique,6601907.3,228650803.61,5849.11,KGM,2020,2,10,Cereals (Rice),export
Senegal,6242881.12,196195217.23,4867.09,KGM,2020,2,10,Cereals (Rice),export
Iran,16290008.83,555943490.96,13110.86,KGM,2020,2,10,Cereals (Rice),export
India,7349333.63,253582907.47,6445.07,KGM,2020,2,10,Cereals (Rice),export
Yemen,5412952.74,178521939.2,4687.31,KGM,2020,2,10,Cereals (Rice),export
China,88727435.12,3085685834.41,68677.41,KGM,2020,3,10,Cereals (Rice),export
Nigeria,36884453.75,1172771949.87,29401.3,KGM,2020,3,10,Cereals (Rice),export
Indonesia,32642798.01,1099486418.26,21512.01,KGM,2020,3,10,Cereals (Rice),export
South Africa,25642153.57,858408993.05,18601.25,KGM,2020,3,10,Cereals (Rice),export
Iraq,21802107.39,719892852.9,17042.87,KGM,2020,3,10,Cereals (Rice),export
United States of America,18460225.34,610855558.39,14906.31,KGM,2020,3,10,Cereals (Rice),export
Japan,13601357.64,454250293.16,12007.84,KGM,2020,3,10,Cereals (Rice),export
Saudi Arabia,12350246.28,419045460.25,10904.89,KGM,2020,3,10,Cereals (Rice),export
Philippines,10049967.3,326955536.24,8630.41,KGM,2020,3,10,Cereals (Rice),export
Malaysia,9169448.44,311002773.24,7336.12,KGM,2020,3,10,Cereals (Rice),export
Hong Kong,12448144.75,415288839.8,11229.91,KGM,2020,3,10,Cereals (Rice),export
Singapore,6729200.38,228158139.07,5541.79,KGM,2020,3,10,Cereals (Rice),export
Cameroon,5128460.22,169321477.59,4102.33,KGM,2020,3,10,Cereals (Rice),export
Mozambique,6027455.98,196943154.25,5093.87,KGM,2020,3,10,Cereals (Rice),export
Senegal,5411510.44,166148942.12,3947.94,KGM,2020,3,10,Cereals (Rice),export
Iran,15276714.23,525172895.83,11322.85,KGM,2020,3,10,Cereals (Rice),export
India,6099922.97,187575240.89,4142.24,KGM,2020,3,10,Cereals (Rice),export
Yemen,4882235.56,157319065.84,2777.27,KGM,2020,3,10,Cereals (Rice),export
China,96817518.85,3339331177.55,66102.43,KGM,2020,4,10,Cereals (Rice),export
Nigeria,42360757.54,1378966933.4,26587.47,KGM,2020,4,10,Cereals (Rice),export
Indonesia,34681385.21,1071942038.8,25231.04,KGM,2020,4,10,Cereals (Rice),export
South Africa,24873329.28,862166723.14,18121.73,KGM,2020,4,10,Cereals (Rice),export
Iraq,23418560.94,777805863.7,16999.42,KGM,2020,4,10,Cereals (Rice),export
United States of America,16450466.4,581193641.84,13771.45,KGM,2020,4,10,Cereals (Rice),export
Japan,15856277.64,528775458.08,14025.74,KGM,2020,4,10,Cereals (Rice),export
Saudi Arabia,14275795.12,467070805.31,7672.85,KGM,2020,4,10,Cereals (Rice),export
Philippines,13223522.92,462665391.95,10126.97,KGM,2020,4,10,Cereals (Rice),export
Malaysia,9456723.58,297501462.6,7082.56,KGM,2020,4,10,Cereals (Rice),export
Hong Kong,11233450.98,379351579.12,11071.58,KGM,2020,4,10,Cereals (Rice),export
Singapore,7520100.57,249770196.15,6425.74,KGM,2020,4,10,Cereals (Rice),export
Cameroon,6915789.09,217163999.33,5623.99,KGM,2020,4,10,Cereals (Rice),export
Mozambique,5833247.77,193661090.83,3632.64,KGM,2020,4,10,Cereals (Rice),export
Senegal,5351992.37,173272390.14,3401.09,KGM,2020,4,10,Cereals (Rice),export
Iran,15786899.88,514370262.99,12971.67,KGM,2020,4,10,Cereals (Rice),export
India,5569182.71,169980560.03,5014.29,KGM,2020,4,10,Cereals (Rice),export
Yemen,4929585.87,161683522.36,3823.75,KGM,2020,4,10,Cereals (Rice),export
China,91161547.16,2958236420.27,63273.8,KGM,2020,5,10,Cereals (Rice),export
Nigeria,42220292.73,1547753771.17,35577.5,KGM,2020,5,10,Cereals (Rice),export
Indonesia,37632499.75,1218816699.92,22051.46,KGM,2020,5,10,Cereals (Rice),export
South Africa,25691326.99,850493395.95,20388.5,KGM,2020,5,10,Cereals (Rice),export
Iraq,27955854.42,892622137.06,15684.52,KGM,2020,5,10,Cereals (Rice),export
United States of America,22487138.83,755351335.39,14307.97,KGM,2020,5,10,Cereals (Rice),export
Japan,17758901.7,591152076.8,13626.64,KGM,2020,5,10,Cereals (Rice),export
Saudi Arabia,14083461.37,454268458.64,9196.17,KGM,2020,5,10,Cereals (Rice),export
Philippines,12208170.06,428810456.16,6967.96,KGM,2020,5,10,Cereals (Rice),export
Malaysia,9949213.26,303990557.14,7866.86,KGM,2020,5,10,Cereals (Rice),export
Hong Kong,11218490.75,383797411.25,9807.35,KGM,2020,5,10,Cereals (Rice),export
Singapore,6120814.13,198681339.08,6764.65,KGM,2020,5,10,Cereals (Rice),export
Cameroon,6293671.14,210233638.79,5306.72,KGM,2020,5,10,Cereals (Rice),export
Mozambique,5380986.69,158851584.86,4982.57,KGM,2020,5,10,Cereals (Rice),export
Senegal,4918034.27,159750422.19,4195.98,KGM,2020,5,10,Cereals (Rice),export
Iran,13153566.23,409436557.92,14046.15,KGM,2020,5,10,Cereals (Rice),export
India,6394037.86,211193412.66,5244.58,KGM,2020,5,10,Cereals (Rice),export
Yemen,5752040.63,193505451.97,4093.67,KGM,2020,5,10,Cereals (Rice),export
China,97943130.21,3436848234.04,84590.74,KGM,2020,6,10,Cereals (Rice),export
Nigeria,39939380.42,1405186957.9,34475.08,KGM,2020,6,10,Cereals (Rice),export
Indonesia,37287055.53,1288441098.72,25050.64,KGM,2020,6,10,Cereals (Rice),export
South Africa,26918397.45,911267213.5,23829.03,KGM,2020,6,10,Cereals (Rice),export
Iraq,23615411.93,788349917.78,19342.96,KGM,2020,6,10,Cereals (Rice),export
United States of America,20278549.31,661535220.46,15458.64,KGM,2020,6,10,Cereals (Rice),export
Japan,19309986.84,620623800.13,13885.04,KGM,2020,6,10,Cereals (Rice),export
