country_eng,import_value_usd,import_value_baht,export_value_usd,export_value_baht,trade_value_usd,trade_balance_usd,year,month,data_type
Kenya,37401445.69,1196096846.37,22609748.85,723058929.76,60011194.54,-14791696.85,2019,1,overview
Ghana,37347944.18,1192462822.56,22515807.55,718895350.67,59863751.73,-14832136.63,2019,1,overview
Morocco,42139605.23,1315305384.05,22833945.94,712716976.57,64973551.17,-19305659.29,2019,1,overview
Algeria,38592557.25,1319117800.76,20284560.26,693338986.21,58877117.51,-18307996.99,2019,1,overview
Libya,40065213.7,1380048857.78,20555599.12,708038931.22,60620812.82,-19509614.58,2019,1,overview
Tanzania,37877490.72,1357725831.62,23446825.88,840455916.29,61324316.6,-14430664.84,2019,1,overview
Australia,431362338.32,13659402627.96,551291316.02,17457041057.85,982653654.34,119928977.7,2019,1,overview
New Zealand,34273623.16,1148568335.76,21864300.99,732710506.91,56137924.16,-12409322.17,2019,1,overview
Saudi Arabia,1086018717.94,35859798139.04,188801762.69,6234140339.08,1274820480.64,-897216955.25,2019,2,overview
United Arab Emirates,948840317.25,35183239731.63,138667222.56,5141815799.19,1087507539.8,-810173094.69,2019,2,overview
Kuwait,446272689.82,14010133650.76,19792832.15,621369467.88,466065521.98,-426479857.67,2019,2,overview
Qatar,367836718.43,12532565106.31,20870113.26,711065644.52,388706831.7,-346966605.17,2019,2,overview
Iran,110272519.81,3498926038.12,28168254.46,893773345.94,138440774.27,-82104265.34,2019,2,overview
Iraq,217872196.71,7469660721.31,20490924.58,702523115.85,238363121.29,-197381272.13,2019,2,overview
Bahrain,57637224.97,1917000926.1,19132244.08,636334064.13,76769469.05,-38504980.9,2019,2,overview
Oman,219050395.46,7279173367.9,19747442.36,656219114.33,238797837.81,-199302953.1,2019,2,overview
Israel,35581591.37,1193288480.65,38613900.99,1294982081.14,74195492.36,3032309.62,2019,2,overview
Jordan,37005556.16,1279678149.74,23091187.11,798509485.29,60096743.27,-13914369.04,2019,2,overview
Lebanon,31513270.12,1064283582.34,19655697.43,663823081.33,51168967.56,-11857572.69,2019,2,overview
Turkey,36872393.53,1429878133.93,88502324.27,3432040238.36,125374717.79,51629930.74,2019,2,overview
Egypt,37034189.78,1275124286.29,23180461.59,798126534.26,60214651.37,-13853728.19,2019,2,overview
Yemen,37262275.21,1272076461.95,20714042.28,707145376.16,57976317.5,-16548232.93,2019,2,overview
Malaysia,664539904.51,21446001680.22,555930889.83,17940976480.77,1220470794.34,-108609014.68,2019,2,overview
Singapore,570378294.32,17224912409.13,545673257.21,16478842468.23,1116051551.52,-24705037.11,2019,2,overview
Indonesia,523054987.55,16890545114.92,462709575.47,14941864900.75,985764563.03,-60345412.08,2019,2,overview
Vietnam,385020266.91,12083238435.07,854371041.3,26813053470.59,1239391308.21,469350774.38,2019,2,overview
Philippines,200339836.94,6391732321.25,448106323.46,14296585815.13,648446160.41,247766486.52,2019,2,overview
Myanmar,180149830.02,5768865852.84,213274721.28,6829610978.41,393424551.3,33124891.26,2019,2,overview
Cambodia,41491174.92,1243170454.4,223276623.38,6689878073.6,264767798.3,181785448.46,2019,2,overview
Brunei Darussalam,35944953.89,1232144493.8,20124963.01,689856563.32,56069916.9,-15819990.88,2019,2,overview
China,3317119124.11,111977585536.46,2105494804.95,71076200702.06,5422613929.06,-1211624319.16,2019,2,overview
Japan,2272178383.01,73841816923.54,1536759688.64,49941997702.57,3808938071.65,-735418694.37,2019,2,overview
"Korea, Republic of",545135812.56,19433100312.22,335655671.74,11965514260.98,880791484.3,-209480140.82,2019,2,overview
Taiwan,511897607.87,17597398062.22,222909134.91,7662901170.76,734806742.77,-288988472.96,2019,2,overview
Hong Kong,248576655.35,7636509769.96,766839698.1,23558040228.24,1015416353.45,518263042.75,2019,2,overview
India,374491371.4,11960691093.05,546087475.58,17441212546.24,920578846.98,171596104.19,2019,2,overview
Bangladesh,36674155.05,1159255528.78,22566877.89,713330080.25,59241032.94,-14107277.16,2019,2,overview
Pakistan,35248011.49,1109022938.18,15739845.52,495229347.38,50987857.01,-19508165.97,2019,2,overview
Sri Lanka,34701056.9,1230104474.17,19128768.59,678088390.61,53829825.5,-15572288.31,2019,2,overview
Germany,313645994.29,10411827199.14,273358991.63,9074455392.51,587004985.93,-40287002.66,2019,2,overview
United Kingdom,197501371.6,6862134917.3,219438734.0,7624342993.87,416940105.6,21937362.41,2019,2,overview
France,141782641.36,4777104541.56,130542901.95,4398402257.31,272325543.31,-11239739.4,2019,2,overview
Netherlands,143922676.55,4764517480.5,236012365.27,7813119286.67,379935041.82,92089688.72,2019,2,overview
Italy,34324944.81,1166814576.98,21442979.49,728915404.78,55767924.3,-12881965.32,2019,2,overview
Spain,39910380.98,1444737834.25,19145713.65,693066219.82,59056094.63,-20764667.33,2019,2,overview
Belgium,29885751.23,1012603243.26,20991965.34,711259757.78,50877716.57,-8893785.9,2019,2,overview
Switzerland,289702482.34,9469741618.23,20191410.82,660013134.15,309893893.15,-269511071.52,2019,2,overview
Sweden,34019830.69,1166009391.84,20248079.91,693990853.87,54267910.6,-13771750.77,2019,2,overview
Poland,36428210.54,1251287168.44,20072053.69,689462997.2,56500264.23,-16356156.86,2019,2,overview
Russian Federation,217724091.85,7390523082.93,22631865.6,768226077.86,240355957.46,-195092226.25,2019,2,overview
United States of America,793628339.26,27079345269.65,2165087171.38,73874810352.02,2958715510.63,1371458832.12,2019,2,overview
Canada,37146049.09,1232356992.93,141429781.94,4692073183.21,178575831.02,104283732.85,2019,2,overview
Brazil,195183586.02,6601234981.92,101221643.19,3423381369.3,296405229.22,-93961942.83,2019,2,overview
Mexico,34843787.48,1207273307.68,104399709.77,3617258399.17,139243497.26,69555922.29,2019,2,overview
Argentina,37755346.32,1319859635.35,22632966.38,791208177.51,60388312.7,-15122379.94,2019,2,overview
Chile,35476177.55,1154203241.37,22409320.05,729078261.12,57885497.6,-13066857.5,2019,2,overview
South Africa,109005414.0,3613038289.85,126172540.85,4182051188.93,235177954.84,17167126.85,2019,2,overview
Nigeria,37102944.91,1340847776.59,79436099.35,2870707903.96,116539044.26,42333154.45,2019,2,overview
Kenya,32566284.09,1131260426.39,19185879.36,666463082.08,51752163.44,-13380404.73,2019,2,overview
Ghana,37659710.97,1278265427.28,22311003.69,757291650.2,59970714.66,-15348707.28,2019,2,overview
Morocco,35381967.48,1171628098.36,19724667.57,653156859.33,55106635.05,-15657299.91,2019,2,overview
Algeria,33498041.82,1098046178.5,22907703.55,750901096.7,56405745.36,-10590338.27,2019,2,overview
Libya,33077757.94,1112054282.14,20703644.07,696044033.06,53781402.01,-12374113.87,2019,2,overview
Tanzania,33819447.1,1128403804.45,19852225.33,662380035.96,53671672.43,-13967221.77,2019,2,overview
Australia,433328863.42,13993680752.38,543685242.72,17557468146.37,977014106.13,110356379.3,2019,2,overview
New Zealand,36074141.49,1114287098.14,18788256.62,580346782.58,54862398.11,-17285884.87,2019,2,overview
Saudi Arabia,1119247798.98,37457151279.1,194537086.76,6510448441.33,1313784885.75,-924710712.22,2019,3,overview
United Arab Emirates,1062127072.49,34795380828.2,169197021.89,5542910038.06,1231324094.38,-892930050.59,2019,3,overview
Kuwait,474277384.1,15637983132.73,21845194.21,720284774.26,496122578.31,-452432189.89,2019,3,overview
Qatar,386692476.43,12281025749.11,24363165.26,773753507.45,411055641.7,-362329311.17,2019,3,overview
Iran,123683791.89,4061387330.86,35549605.25,1167337402.61,159233397.13,-88134186.64,2019,3,overview
Iraq,285987943.17,9265485798.44,25061273.58,811939384.26,311049216.76,-260926669.59,2019,3,overview
Bahrain,64468735.24,2136913844.76,23773925.56,788022759.97,88242660.8,-40694809.68,2019,3,overview
Oman,222812814.11,7519263466.56,23796569.33,803062764.22,246609383.44,-199016244.78,2019,3,overview
Israel,44178621.42,1600581455.99,51145229.14,1852980076.84,95323850.56,6966607.71,2019,3,overview
Jordan,37153399.38,1236279847.82,25407409.21,845431871.97,62560808.59,-11745990.17,2019,3,overview
Lebanon,46517709.29,1476491501.71,22214233.26,705089032.2,68731942.55,-24303476.03,2019,3,overview
Turkey,37685256.62,1213893649.18,78858392.5,2540136658.56,116543649.12,41173135.87,2019,3,overview
Egypt,37179413.24,1245980066.84,24035748.19,805501231.28,61215161.43,-13143665.04,2019,3,overview
Yemen,45524540.99,1462914941.52,25555805.29,821226718.41,71080346.28,-19968735.7,2019,3,overview
Malaysia,734767070.81,22792217507.41,658257238.02,20418909258.16,1393024308.84,-76509832.79,2019,3,overview
Singapore,726127244.14,23451177221.59,563136951.64,18187204184.24,1289264195.77,-162990292.5,2019,3,overview
Indonesia,478217702.54,15699021711.47,658058937.77,21602883993.15,1136276640.32,179841235.23,2019,3,overview
Vietnam,435030849.88,13964898107.56,828823497.93,26606011277.1,1263854347.81,393792648.05,2019,3,overview
Philippines,237599630.29,7680384715.28,476785262.56,15412036788.6,714384892.86,239185632.27,2019,3,overview
Myanmar,207778457.26,6812314005.04,217215211.84,7121711505.78,424993669.1,9436754.58,2019,3,overview
Cambodia,39964269.5,1361479646.67,247274337.85,8423999295.63,287238607.35,207310068.35,2019,3,overview
Brunei Darussalam,36021966.71,1257761549.32,20835183.08,727491987.24,56857149.78,-15186783.63,2019,3,overview
China,4063566103.79,143552494309.54,2232787558.05,78877078663.19,6296353661.85,-1830778545.74,2019,3,overview
Japan,2396978180.52,79343040447.1,2079253171.98,68825936700.22,4476231352.49,-317725008.54,2019,3,overview
"Korea, Republic of",737744561.53,24070062610.57,451419126.68,14728250412.63,1189163688.2,-286325434.85,2019,3,overview
Taiwan,597239645.49,20935009840.59,291389166.88,10214049121.1,888628812.37,-305850478.61,2019,3,overview
Hong Kong,219166454.25,7580449703.03,835116592.47,28884709327.66,1054283046.72,615950138.22,2019,3,overview
India,374153907.89,11202598927.75,501708872.61,15021741480.64,875862780.49,127554964.72,2019,3,overview
Bangladesh,38730211.69,1365376895.8,25113330.29,885333682.72,63843541.98,-13616881.4,2019,3,overview
Pakistan,39817966.8,1231563653.48,26844369.54,830292264.39,66662336.34,-12973597.27,2019,3,overview
Sri Lanka,34189288.94,1147942922.0,23644459.37,793888689.13,57833748.31,-10544829.57,2019,3,overview
Germany,394797999.64,12975557368.25,264291466.8,8686287905.42,659089466.44,-130506532.84,2019,3,overview
United Kingdom,177262566.24,5947140904.81,291927741.5,9794145766.5,469190307.74,114665175.26,2019,3,overview
France,146428189.37,4599482172.06,151824352.38,4768982018.06,298252541.75,5396163.01,2019,3,overview
Netherlands,157539398.1,4965864105.29,298255654.77,9401439056.38,455795052.87,140716256.67,2019,3,overview
Italy,41179480.63,1309947723.71,22742510.53,723454969.23,63921991.16,-18436970.11,2019,3,overview
Spain,39244403.86,1262473871.98,21783039.59,700750059.28,61027443.45,-17461364.27,2019,3,overview
Belgium,35790053.34,1182964886.83,27482977.75,908391986.96,63273031.09,-8307075.59,2019,3,overview
Switzerland,298940287.13,9814660406.18,24156561.83,793096351.19,323096848.96,-274783725.3,2019,3,overview
Sweden,38883596.27,1327340612.8,24916916.73,850570386.89,63800513.0,-13966679.54,2019,3,overview
Poland,37903413.03,1235174532.95,22655945.34,738298861.99,60559358.38,-15247467.69,2019,3,overview
Russian Federation,193763497.87,6791470938.52,20871136.98,731539850.51,214634634.85,-172892360.89,2019,3,overview
United States of America,1075017546.23,36405292302.99,2482862029.32,84081714054.41,3557879575.54,1407844483.09,2019,3,overview
Canada,40568958.82,1406905623.87,197332490.24,6843364935.86,237901449.06,156763531.42,2019,3,overview
Brazil,195891304.8,5992379759.8,109672365.81,3354913919.13,305563670.62,-86218938.99,2019,3,overview
Mexico,40227634.85,1241691095.61,111564667.92,3443624147.14,151792302.77,71337033.07,2019,3,overview
Argentina,37535852.53,1333675583.02,21695058.79,770840895.62,59230911.33,-15840793.74,2019,3,overview
Chile,42375192.56,1492450731.4,23734851.98,835939498.01,66110044.55,-18640340.58,2019,3,overview
South Africa,119484998.92,4215990682.54,132681360.1,4681620144.73,252166359.03,13196361.18,2019,3,overview
Nigeria,41289881.81,1350777507.28,87116929.23,2849986082.77,128406811.03,45827047.42,2019,3,overview
Kenya,36810542.2,1265887539.07,21122680.51,726393485.52,57933222.71,-15687861.69,2019,3,overview
Ghana,45629819.36,1544316315.79,21092721.61,713871643.2,66722540.97,-24537097.75,2019,3,overview
Morocco,37522965.2,1204915286.62,22824461.77,732925629.72,60347426.97,-14698503.43,2019,3,overview
Algeria,36847362.56,1170035484.25,23842191.09,757074798.88,60689553.66,-13005171.47,2019,3,overview
Libya,40439779.95,1320018228.64,23654547.59,772121758.62,64094327.54,-16785232.36,2019,3,overview
Tanzania,36709381.74,1253004514.62,22654134.47,773255539.19,59363516.21,-14055247.26,2019,3,overview
Australia,494034853.13,16376760584.67,583803867.6,19352513506.83,1077838720.73,89769014.47,2019,3,overview
New Zealand,41962725.89,1418971266.61,20578129.97,695850293.86,62540855.86,-21384595.92,2019,3,overview
Saudi Arabia,1160062871.62,36953931850.17,213486444.92,6800634456.55,1373549316.54,-946576426.7,2019,4,overview
United Arab Emirates,838497243.31,27730887671.99,142066778.81,4698450611.01,980564022.12,-696430464.5,2019,4,overview
Kuwait,500181122.07,16985094867.09,22727539.41,771779253.6,522908661.48,-477453582.65,2019,4,overview
Qatar,354057011.3,11040728208.39,24370483.59,759956382.98,378427494.89,-329686527.7,2019,4,overview
Iran,116112006.14,3681839719.8,32790535.19,1039767539.31,148902541.34,-83321470.95,2019,4,overview
Iraq,277039829.89,8902581348.23,26472333.91,850679507.6,303512163.79,-250567495.98,2019,4,overview
Bahrain,69701217.44,2355532169.8,22285774.56,753141205.35,91986992.0,-47415442.87,2019,4,overview
Oman,273254744.96,8690773469.15,19655576.78,625138879.91,292910321.74,-253599168.19,2019,4,overview
Israel,42718435.62,1433490531.95,48204062.09,1617570156.95,90922497.7,5485626.47,2019,4,overview
Jordan,38860315.06,1273315897.25,24669715.98,808339857.68,63530031.04,-14190599.07,2019,4,overview
Lebanon,44648088.07,1495996876.33,24998664.85,837615363.85,69646752.92,-19649423.22,2019,4,overview
Turkey,39487868.58,1277478461.74,94177167.2,3046740860.54,133665035.78,54689298.63,2019,4,overview
Egypt,42121877.0,1408330732.27,23674870.42,791561297.06,65796747.42,-18447006.58,2019,4,overview
Yemen,47612975.94,1547943780.2,26207404.42,852027999.98,73820380.36,-21405571.52,2019,4,overview
Malaysia,895145976.25,26803188751.05,632004593.84,18923995493.05,1527150570.08,-263141382.41,2019,4,overview
Singapore,600644022.15,19504551021.59,451387036.42,14657769257.14,1052031058.57,-149256985.73,2019,4,overview
Indonesia,572509000.54,19173550313.88,694645428.3,23263947042.31,1267154428.84,122136427.76,2019,4,overview
Vietnam,401176049.39,11908227838.03,1045025397.56,31019799286.59,1446201446.96,643849348.17,2019,4,overview
Philippines,249618045.34,7683772783.38,520217915.6,16013410632.59,769835960.94,270599870.26,2019,4,overview
Myanmar,222847982.71,7215164318.51,251634529.59,8147188308.08,474482512.29,28786546.88,2019,4,overview
Cambodia,42900420.76,1427417093.46,289505580.01,9632661083.91,332406000.78,246605159.25,2019,4,overview
Brunei Darussalam,41644187.25,1321171562.12,23599652.64,748704489.15,65243839.89,-18044534.61,2019,4,overview
China,4354576366.74,144168481070.22,2282207570.12,75557843326.54,6636783936.86,-2072368796.62,2019,4,overview
Japan,2356379140.43,78939863271.6,2035104036.68,68176988856.38,4391483177.11,-321275103.76,2019,4,overview
"Korea, Republic of",707562087.75,23063118986.88,391672797.64,12766648315.66,1099234885.39,-315889290.12,2019,4,overview
Taiwan,526904539.4,17686051813.9,275673827.45,9253254112.47,802578366.85,-251230711.95,2019,4,overview
Hong Kong,259836976.89,8913553897.29,756418532.15,25948490611.53,1016255509.04,496581555.27,2019,4,overview
India,497879253.73,17831641920.8,590574422.91,21151537361.82,1088453676.63,92695169.18,2019,4,overview
Bangladesh,38305621.95,1161883046.22,22060476.78,669136608.66,60366098.73,-16245145.17,2019,4,overview
Pakistan,45720411.42,1504961545.74,25782556.69,848674698.26,71502968.1,-19937854.73,2019,4,overview
Sri Lanka,41747897.51,1530838122.4,22294041.47,817491912.5,64041938.98,-19453856.05,2019,4,overview
Germany,412554558.61,14063427927.94,329525517.3,11233080004.14,742080075.91,-83029041.31,2019,4,overview
United Kingdom,212023150.79,6745365648.92,290952814.69,9256456733.09,502975965.47,78929663.9,2019,4,overview
France,169493853.2,5935357797.29,187925120.09,6580786298.49,357418973.29,18431266.89,2019,4,overview
Netherlands,184150971.92,5803627039.2,274143534.87,8639796005.25,458294506.79,89992562.94,2019,4,overview
Italy,40422429.39,1400284989.11,24609220.83,852495088.39,65031650.22,-15813208.57,2019,4,overview
Spain,35304615.54,1156684700.75,27497918.63,900913982.16,62802534.17,-7806696.92,2019,4,overview
Belgium,39438855.17,1203583741.74,22516275.42,687145276.09,61955130.6,-16922579.75,2019,4,overview
Switzerland,348178857.93,10816196642.34,24643703.22,765558085.76,372822561.14,-323535154.71,2019,4,overview
Sweden,36602742.68,1299526656.49,23841861.99,846470316.94,60444604.67,-12760880.69,2019,4,overview
Poland,39985334.92,1304776874.24,21553839.81,703331653.84,61539174.73,-18431495.11,2019,4,overview
Russian Federation,239654618.03,7889084371.84,19214102.18,632500531.26,258868720.21,-220440515.85,2019,4,overview
United States of America,961894732.83,34410277876.89,2758886877.34,98694858012.8,3720781610.17,1796992144.51,2019,4,overview
Canada,44513445.76,1395060788.65,159819854.44,5008787982.12,204333300.21,115306408.68,2019,4,overview
Brazil,246198210.12,8129684984.06,123080340.65,4064222874.55,369278550.77,-123117869.47,2019,4,overview
Mexico,40754524.72,1336074305.65,124441230.66,4079614030.66,165195755.37,83686705.94,2019,4,overview
Argentina,38959370.78,1283745165.46,23428156.48,771978140.57,62387527.25,-15531214.3,2019,4,overview
Chile,39058145.75,1295154260.69,23102822.27,766081392.73,62160968.01,-15955323.48,2019,4,overview
South Africa,120001223.27,3482860938.1,164686957.55,4779799370.57,284688180.82,44685734.28,2019,4,overview
Nigeria,44398922.38,1327080000.64,107769307.91,3221215415.44,152168230.29,63370385.53,2019,4,overview
Kenya,39713887.19,1226711636.36,23771975.9,734286203.65,63485863.1,-15941911.29,2019,4,overview
Ghana,38292465.49,1364299494.3,22323271.34,795342567.18,60615736.83,-15969194.14,2019,4,overview
Morocco,43889882.75,1495877284.19,26992247.99,919963510.52,70882130.74,-16897634.76,2019,4,overview
Algeria,37145097.55,1253055017.78,23471940.28,791803884.89,60617037.83,-13673157.27,2019,4,overview
Libya,36841049.16,1202473862.49,25897476.92,845281006.28,62738526.08,-10943572.23,2019,4,overview
Tanzania,39608918.7,1333489501.02,25893481.54,871740176.52,65502400.23,-13715437.16,2019,4,overview
Australia,475850126.3,14931417986.43,713927637.72,22401910563.29,1189777764.02,238077511.42,2019,4,overview
New Zealand,42845389.65,1394003901.72,25662478.47,834946196.12,68507868.11,-17182911.18,2019,4,overview
Saudi Arabia,1282613302.22,44103992993.07,187481440.39,6446744407.77,1470094742.62,-1095131861.83,2019,5,overview
United Arab Emirates,985207829.08,34062096512.91,159697026.39,5521287352.01,1144904855.48,-825510802.69,2019,5,overview
Kuwait,471826252.38,14468578564.55,22183077.41,680245316.26,494009329.79,-449643174.97,2019,5,overview
Qatar,436866998.38,15566528447.06,22439141.3,799555774.63,459306139.67,-414427857.08,2019,5,overview
Iran,104180705.92,3470939218.44,37857216.98,1261270961.47,142037922.9,-66323488.94,2019,5,overview
Iraq,289410027.39,9723801894.54,23910161.83,803350453.9,313320189.22,-265499865.56,2019,5,overview
Bahrain,66465948.25,2204764665.85,27206603.76,902479543.78,93672552.02,-39259344.49,2019,5,overview
Oman,253006035.23,8327587782.84,24272775.58,798928251.48,277278810.8,-228733259.65,2019,5,overview
Israel,42692672.56,1322521736.41,43159326.43,1336977610.09,85851998.99,466653.87,2019,5,overview
Jordan,44144213.65,1444576350.78,25341730.88,829283434.62,69485944.52,-18802482.77,2019,5,overview
Lebanon,41728113.11,1343243003.15,25695163.41,827136572.77,67423276.52,-16032949.7,2019,5,overview
Turkey,39072317.58,1232045542.38,101566762.04,3202647914.71,140639079.62,62494444.46,2019,5,overview
Egypt,43027509.19,1486330808.59,21594832.79,745966147.98,64622341.98,-21432676.39,2019,5,overview
Yemen,43241991.61,1490725995.99,25512059.47,879503668.7,68754051.08,-17729932.14,2019,5,overview
Malaysia,944364962.96,28556358089.88,720766403.47,21795030866.0,1665131366.43,-223598559.5,2019,5,overview
Singapore,598422561.77,19771364748.2,514591194.97,17001648770.95,1113013756.74,-83831366.81,2019,5,overview
Indonesia,607490754.29,20217383515.46,588712809.34,19592450688.21,1196203563.63,-18777944.95,2019,5,overview
Vietnam,391487235.59,12093043978.09,951078575.76,29378825151.25,1342565811.35,559591340.17,2019,5,overview
Philippines,231535335.08,7301742346.63,445932615.78,14063015752.04,677467950.85,214397280.7,2019,5,overview
Myanmar,225894029.94,8346462077.6,231012022.22,8535564589.46,456906052.17,5117992.28,2019,5,overview
Cambodia,43311059.67,1373500391.54,253696722.47,8045348008.33,297007782.14,210385662.8,2019,5,overview
Brunei Darussalam,44001032.93,1460086923.54,23848724.35,791372571.12,67849757.28,-20152308.58,2019,5,overview
China,5020028179.42,174315006646.68,2480788020.06,86142659911.24,7500816199.48,-2539240159.37,2019,5,overview
Japan,2359364714.97,84125982399.63,1994401841.52,71112792843.19,4353766556.5,-364962873.45,2019,5,overview
"Korea, Republic of",633228423.58,21568790941.86,477081618.6,16250176572.2,1110310042.18,-156146804.98,2019,5,overview
Taiwan,557084883.79,19196494238.95,306422847.24,10558973314.41,863507731.04,-250662036.55,2019,5,overview
Hong Kong,262436199.24,8374153899.93,728651685.34,23250761023.28,991087884.58,466215486.1,2019,5,overview
India,449257650.03,15243764982.96,579859773.31,19675226691.86,1029117423.34,130602123.28,2019,5,overview
Bangladesh,42259003.34,1418647283.48,22329311.28,749601606.57,64588314.62,-19929692.05,2019,5,overview
Pakistan,43701952.48,1513012773.85,26119580.9,904290478.95,69821533.38,-17582371.59,2019,5,overview
Sri Lanka,44446407.18,1462053516.33,25918360.16,852578014.96,70364767.34,-18528047.02,2019,5,overview
Germany,361301302.22,12035499720.87,344789819.18,11485476932.99,706091121.39,-16511483.04,2019,5,overview
United Kingdom,212859647.29,6679198389.63,261875866.56,8217249669.13,474735513.85,49016219.28,2019,5,overview
France,180708704.71,6148116917.89,166139264.62,5652431769.35,346847969.33,-14569440.1,2019,5,overview
Netherlands,167044245.02,5747562450.47,292360976.59,10059388582.16,459405221.6,125316731.57,2019,5,overview
